id,created_at,text
519074621543297026,2014-10-06 10:40:08,"Viens, Esprit Saint. Fais descendre sur nous tes dons durant le Synode ! #prayforsynod"
518660675145461760,2014-10-05 07:15:15,"Tandis que nous commençons le Synode sur la famille, prions le Seigneur de nous indiquer le chemin. #prayforsynod"
518310616574869504,2014-10-04 08:04:15,"Comme Jésus l’indique à Marthe dans l’Évangile, une chose est nécessaire : prier. #praywithus"
517947279743803392,2014-10-03 08:00:29,Les familles heureuses sont essentielles pour l’Église et pour la société ! #prayforsynod
517607484509274113,2014-10-02 09:30:15,"Le Synode, c’est marcher ensemble, mais aussi prier ensemble. Je demande à tous les fidèles de participer. #praywithus"
516852512624615424,2014-09-30 07:30:16,"La division dans une communauté chrétienne est un péché très grave, elle est l’œuvre du diable."
515772870710935552,2014-09-27 08:00:09,"Il y a la tendance à mettre au centre nous-mêmes et nos ambitions personnelles. C’est très humain, mais ce n’est pas chrétien."
515048128974557184,2014-09-25 08:00:17,"Jésus comprend nos faiblesses, nos péchés ; et il nous pardonne, si nous nous laissons pardonner."
514334969414823936,2014-09-23 08:46:27,"Quand Dieu manque dans une société, la prospérité aussi est accompagnée d’une pauvreté spirituelle terrible."
513258822010273793,2014-09-20 09:30:13,"Chers jeunes, écoutez en vous-mêmes : le Christ frappe à la porte de votre cœur."
512534011499913216,2014-09-18 09:30:05,"Marie, donne-nous la grâce d’être joyeux dans la liberté des enfants de Dieu."
511813009971236865,2014-09-16 09:45:05,"Le Seigneur nous attend toujours pour nous accueillir dans son amour : c’est une chose merveilleuse, qui ne finit jamais de nous surprendre."
510676758387908608,2014-09-13 06:30:01,"Malgré nos péchés, nous pouvons répéter comme Pierre : Seigneur, tu sais tout, tu sais que je t’aime."
509989755354750977,2014-09-11 09:00:07,"Nous ne pouvons pas nous confier en nos propres forces, mais seulement en Jésus et dans sa miséricorde."
509246122900992000,2014-09-09 07:45:11,La fidélité de Dieu est plus forte que nos infidélités et que nos trahisons.
508194201457016834,2014-09-06 10:05:14,"Jésus est le Bon Pasteur. Il nous cherche et se tient près de nous, même si nous sommes pécheurs, surtout parce que nous sommes pécheurs."
507840625312419840,2014-09-05 10:40:14,Je prie chaque jour pour tous ceux qui souffrent en Irak. Priez avec moi. http://t.co/YB3NUGqgHz
507430412893687809,2014-09-04 07:30:12,Notre témoignage chrétien est authentique s’il est fidèle et sans conditions.
506718204501061633,2014-09-02 08:20:08,Un chrétien qui ne perçoit pas la Vierge Marie comme une mère est un orphelin.
